"site","structure","azi","inc"
"PB3","L3",113,47
"PB3","L3",118,42
"PB3","S1",42,79
"PB3","S1",42,73
"PB4","S0",195,10
"PB8","L3",167,17
"PB9","L3",137,9
"PB9","L3",147,14
"PB9","S1",137,15
"PB9","S1",127,15
"PB9","S1",124,14
"PB10","L3",163,9
"PB11","L3",294,2
"PB12","L3",138,17
"PB12","L3",140,10
"PB12","S1",141,19
"PB12","S1",150,22
"PB12","S1",183,39
"PV18","S1",133,13
"PB13","L3",134,1
"PB13","S1",49,3
"PB16","L3",132,19
"PB22","L3",140,9
"PB22","S1",40,52
"PB25","L3",137,12
"PB25","S1",53,66
"PB26","L3",143,16
"PB26","S1",140,16
"PB37","L3",145,2
"PB37","S3",215,16
"PB37","S1",43,73
"PB45","L3",112,9
"PB46","L3",154,36
"PB46","S1",104,64
"PB47","L3",94,14
"PB54","L3",154,24
"PB54","S1",180,36
"PB55","L3",151,24
"PB55","S1",88,41
"PB56","L3",148,27
"PB56","S1",178,34
"PB64","S0",274,28
"PS1","L2",135,11
"PS1","S1",69,25
"PS1","S2",228,70
"PS1","S2",220,59
"PS1","L2",131,11
"PS2","L3",128,16
"PS2","S1",220,80
"PS4","L3",122,16
"PS4","S1",187,30
"PS4","S1",188,35
"PS4","L3",124,18
"PS5","L3",96,10
"PS6","L3",120,10
"PS10","L3",94,11
"PS11","L3",105,8
"PS11","S1",185,24
"PS12","L3",110,0
"PS13","L3",130,15
"PS19","L3",113,12
"PS21","L3",113,8
"PS22","L3",100,1
"PS22","S1",175,42
"PS23","L3",120,25
"PS23","S1",155,25
"PS23","S1",106,25
"PS23","S1",192,74
"PS28","L3",119,15
"PS28","S1",73,22
"PS29","L3",200,10
"PS53","L3",110,3
"PS53","L3",115,1
"PS56","L3",140,12
"PS56","L3",145,15
"PS57","L3",123,23
"PS59","S1",174,31
"PS59","L3",102,12
"PS59","S1",200,43
"PS66","L3",123,9
"PS66","S2",45,47
"PS66","S1",85,45
"PS66","S1",230,65
"PS69","S1",134,15
"PS72","L3",127,1
"PS77","L3",110,15
"PS78","L3",123,13
"PS78","S1",159,27
"PS80","L3",112,3
"PS82","L3",127,15
"MC1","S1",42,71
"MC1","S1",74,45
"MC1","S1",125,17
"MC1","L2",130,20
"MC1","L2",112,32
"MC1","S2",162,47
"MC1","S2",174,77
"MC9","S0",230,9
"MC26","S0",232,30
"MC28","S1",222,88
"MC28","L3",126,3
"MC32","S1",215,55
"MC32","L3",150,5
"MC34","S0",250,8
"MC35","S0",227,15
"MC39","S0",334,10
"MC41","S0",180,17
"MC46","S0",272,14
"MC47","S0",218,10
"MC67","S1",42,75
"MC68","S3",153,22
"MC69","S1",232,80
"MC69","S1",40,78
"MC69","L3",120,17
"MC69","S1",155,38
"MC69","S3",153,22
"MC69","S3",182,18
"MC69","L3",324,12
"KJ1","L1",122,2
"KJ2","S3",184,35
"KJ2","L1",123,11
"KJ2","S1",204,67
"KJ3","S1",176,28
"KJ3","L3",150,28
"KJ3","S1",194,18
"KJ3","L3",154,24
"KJ4","S3",310,13
"KJ4","L3",301,12
"KJ4","L3",111,2
"KJ4","S3",188,12
"KJ4","S3",68,24
"KJ4","S3",98,6
"KJ4","S1",38,62
"KJ4","L3",128,5
"KJ5","S1",182,61
"KJ5","S1",84,39
"KJ5","L1",294,10
"KJ5","S1",148,6
"KJ5","L1",300,5
"KJ6","S1",48,64
"KJ6","L1",289,15
"KJ7","S1",30,54
"KJ7","S1",19,28
"KJ7","L1",115,3
"KJ7","L1",128,9
"KJ8","S1",102,30
"KJ8","S1",37,24
"KJ8","S1",129,30
"KJ8","S3",25,34
"KJ8","L3",76,16
"KJ8","S1",185,8
"KJ8","L3",120,2
"KJ8","S1",88,5
"KJ8","L3",120,3
"KJ9","S1",36,35
"KJ9","L3",290,2
"KJ10","S1",29,20
"KJ10","S1",37,27
"KJ10","L3",124,4
"KJ11","S1",150,25
"KJ11","L3",119,4
"KJ11","L3",291,5
"KJ13","S1",217,15
"KJ13","L3",304,17
"KJ14","S1",23,71
"KJ14","L3",295,11
"KJ15","S1",326,24
"KJ15","L3",279,10
"KJ15","S1",15,42
"KJ18","S1",36,54
"KJ18","L3",116,5
"KJ20","S1",51,34
"KJ20","L3",296,10
"KJ22","S1",199,52
"KJ22","S3",147,19
"KJ22","L3",110,10
"KJ22","L3",93,10
"KJ23","S1",12,75
"KJ23","S3",196,35
"KJ23","L3",280,10
"KJ23","L3",98,25
"KJ24","S1",26,51
"KJ24","L3",110,2
"KJ25","S1",32,65
"KJ25","L3",106,32
"KJ25","L3",315,23
"KJ26","S1",198,40
"KJ26","L3",113,5
"KJ27","S1",34,36
"KJ27","L3",126,15
"KJ28","S1",204,72
"KJ28","S2",224,75
"KJ28","L2",125,10
"KJ29","S1",203,46
"KJ29","L3",110,5
"KJ31","S1",187,72
"KJ31","S1",29,62
"KJ31","L3",301,2
"KJ32","S1",8,40
"KJ32","L3",310,22
"KJ33","S1",16,65
"KJ33","L3",290,10
"KJ33","L3",96,32
"KJ34","S1",225,25
"KJ35","S1",208,60
"KJ35","S1",193,80
"KJ35","L3",293,9
"KJ35","L3",292,8
"KJ36","S1",289,15
"KJ36","S1",137,74
"KJ36","S2",204,61
"KJ36","S1",354,32
"KJ36","L3",310,11
"KJ36","S1",195,85
"KJ36","L2",291,24
"KJ36","S2",197,63
"KJ36","S1",195,88
"KJ36","S1",225,25
"KJ36","L2",276,10
"KJ37","S1",207,45
"KJ38","S1",191,54
"KJ40","S1",228,30
"KJ40","S1",14,27
"KJ40","L3",293,12
"KJ41","S1",35,35
"KJ41","L3",125,3
"KJ42","S1",203,73
"KJ42","L3",113,1
"KJ42","S1",35,49
"KJ42","L3",125,1
"KJ42","S1",52,36
"PV5","L3",301,20
"PV5","S1",22,57
"PV5","S1",255,23
"PV5","S2",179,85
"PV5","S2",12,76
"PV7","S1",84,6
"PV7","L3",118,7
"PV8","S1",25,53
"PV8","S1",37,45
"PV8","L3",123,1
"PV9","L3",121,3
"PV9","S1",97,10
"PV10","S1",104,16
"PV10","L3",102,15
"PV10","S1",42,57
"PV10","S1",182,34
"PV10","S3",180,22
"PV10","S1",133,21
"PV10","S3",133,21
"PV10","L3",127,19
"PV14","S1",22,86
"PV14","L3",110,5
